full_name,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Kelvin Ofori,19,Bundesliga,Midfielder,Fortuna Düsseldorf,35,24,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
Ken Reichel,33,Bundesliga,Defender,Union Berlin,534,270,264,7,3,4,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0,76,0
Kenan Karaman,26,Bundesliga,Forward,Fortuna Düsseldorf,1358,735,623,20,10,10,6,3,3,1,0,21,9,12,4,0.46,0.07,0.4,0.37,0.43,226,68,1358
Kerem Demirbay,27,Bundesliga,Midfielder,Bayer Leverkusen,1576,653,923,25,13,12,1,0,1,5,0,22,10,12,4,0.34,0.29,0.06,0,0.1,1576,63,315
Keven Schlotterbeck,23,Bundesliga,Defender,Union Berlin,1942,1080,862,23,12,11,0,0,0,0,0,33,12,21,7,0,0,0,0,0,0,84,0
Kevin Akpoguma,25,Bundesliga,Defender,Hoffenheim,1137,624,513,18,10,8,0,0,0,0,0,19,12,7,2,0,0,0,0,0,0,63,0
Kevin Kampl,30,Bundesliga,Midfielder,RB Leipzig,677,352,325,11,5,6,2,1,1,2,0,4,4,0,1,0.53,0.27,0.27,0.26,0.28,339,62,339
Kevin Mbabu,25,Bundesliga,Defender,Wolfsburg,1695,795,900,20,10,10,3,2,1,1,0,29,13,16,4,0.21,0.05,0.16,0.23,0.1,565,85,1695
Kevin Möhwald,27,Bundesliga,Midfielder,Werder Bremen,73,0,73,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,73,0
Kevin Stöger,27,Bundesliga,Forward,Fortuna Düsseldorf,1268,736,532,17,9,8,0,0,0,4,0,22,11,11,3,0.28,0.28,0,0,0,0,75,317
Kevin Trapp,30,Bundesliga,Goalkeeper,Eintracht Frankfurt,1980,990,990,22,11,11,0,0,0,0,0,38,16,22,1,0,0,0,0,0,0,90,0
Kevin Vogt,29,Bundesliga,Midfielder,Werder Bremen,2073,1106,967,25,13,12,0,0,0,0,0,35,23,12,5,0,0,0,0,0,0,83,0
Kevin Volland,28,Bundesliga,Forward,Bayer Leverkusen,2051,1032,1019,27,14,13,10,7,3,7,0,27,14,13,3,0.75,0.31,0.44,0.61,0.26,205,76,293
Khiry Shelton,27,Bundesliga,Forward,Paderborn,31,31,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Kingsley Coman,24,Bundesliga,Forward,Bayern München,1507,635,872,24,12,12,4,1,3,3,0,16,7,9,2,0.42,0.18,0.24,0.14,0.31,377,63,502
Kingsley Ehizibue,25,Bundesliga,Forward,Köln,2337,1132,1205,31,15,16,1,1,0,1,0,44,12,32,7,0.08,0.04,0.04,0.08,0,2337,75,2337
Kingsley Schindler,27,Bundesliga,Midfielder,Köln,850,301,549,13,6,7,0,0,0,2,0,22,7,15,0,0.21,0.21,0,0,0,0,65,425
Klaus Gjasula,30,Bundesliga,Midfielder,Paderborn,2296,1115,1181,29,14,15,2,1,1,1,0,49,29,20,17,0.12,0.04,0.08,0.08,0.08,1148,79,2296
Koen Casteels,28,Bundesliga,Goalkeeper,Wolfsburg,2340,1170,1170,26,13,13,0,0,0,0,0,36,18,18,1,0,0,0,0,0,0,90,0
Konrad Laimer,23,Bundesliga,Midfielder,RB Leipzig,2123,1017,1106,29,14,15,2,2,0,6,0,21,11,10,8,0.34,0.25,0.08,0.18,0,1062,73,354
Konstantinos Stafylidis,26,Bundesliga,Defender,Hoffenheim,396,262,134,7,4,3,1,1,0,0,0,8,7,1,0,0.23,0,0.23,0.34,0,396,57,0
Krzysztof Piątek,25,Bundesliga,Forward,Hertha BSC,907,489,418,15,8,7,4,2,2,1,2,20,12,8,2,0.5,0.1,0.4,0.37,0.43,227,60,907
Kwasi Okyere Wriedt,26,Bundesliga,Forward,Bayern München,13,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Lars Bender,31,Bundesliga,Midfielder,Bayer Leverkusen,1375,719,656,18,10,8,2,2,0,1,0,21,8,13,3,0.2,0.07,0.13,0.25,0,688,76,1375
Lars Lukas Mai,20,Bundesliga,Defender,Bayern München,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lars Stindl,32,Bundesliga,Forward,Borussia M'gladbach,1434,826,608,25,12,13,9,3,6,3,2,17,9,8,4,0.75,0.19,0.56,0.33,0.89,159,57,478
Lasse Sobiech,29,Bundesliga,Defender,Köln,90,0,90,1,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,90,0
László Bénes,23,Bundesliga,Midfielder,Borussia M'gladbach,890,599,291,22,12,10,0,0,0,4,0,12,8,4,3,0.4,0.4,0,0,0,0,40,223
Laurent Jans,28,Bundesliga,Defender,Paderborn,1578,659,919,22,11,11,0,0,0,1,0,32,18,14,2,0.06,0.06,0,0,0,0,72,1578
Lazar Samardžić,18,Bundesliga,Midfielder,Hertha BSC,32,30,2,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,0
