full_name,age,league,position,current_club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Kevin Andrés Agudelo Ardila,22,Serie A,Midfielder,Fiorentina,729,228,501,13,4,9,1,1,0,1,0,12,3,9,5,0.25,0.12,0.12,0.39,0,729,56,729
Kevin Bonifazi,24,Serie A,Defender,SPAL,1439,809,630,17,10,7,2,1,1,0,0,33,16,17,3,0.13,0,0.13,0.11,0.14,720,85,0
Kevin Lasagna,28,Serie A,Forward,Udinese,2573,1312,1261,36,18,18,10,6,4,1,0,37,18,19,1,0.38,0.03,0.35,0.41,0.29,257,71,2573
Kévin Malcuit,29,Serie A,Defender,Napoli,256,90,166,4,1,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,64,0
Kevin-Prince Boateng,33,Serie A,Midfielder,Fiorentina,596,396,200,14,8,6,1,1,0,0,0,11,7,4,2,0.15,0,0.15,0.23,0,596,43,0
Khadim Ndiaye,20,Serie A,Goalkeeper,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khouma Babacar,27,Serie A,Forward,Lecce,1427,704,723,25,11,14,3,2,1,0,0,32,16,16,3,0.19,0,0.19,0.26,0.12,476,57,0
Kingsley Dogo Michael,21,Serie A,Midfielder,Bologna,77,0,77,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,77,0
Konstantinos Manolas,29,Serie A,Defender,Napoli,2178,1098,1080,26,14,12,4,2,2,0,0,28,12,16,2,0.17,0,0.17,0.16,0.17,545,84,0
Koray Günter,26,Serie A,Defender,Hellas Verona,2735,1220,1515,32,15,17,0,0,0,0,0,37,18,19,7,0,0,0,0,0,0,85,0
Kristoffer Askildsen,19,Serie A,Midfielder,Sampdoria,74,48,26,4,2,2,1,1,0,0,0,0,0,0,2,1.22,0,1.22,1.88,0,74,19,0
Krisztofer Horváth,18,Serie A,Midfielder,SPAL,41,35,6,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14,0
Krzysztof Piątek,25,Serie A,Forward,AC Milan,1190,598,592,18,9,9,4,1,3,0,3,15,6,9,1,0.3,0,0.3,0.15,0.46,298,66,0
Kwadwo Asamoah,31,Serie A,Midfielder,Inter Milan,639,288,351,8,4,4,0,0,0,1,0,5,2,3,1,0.14,0.14,0,0,0,0,80,639
Kwang-Song Han,22,Serie A,Forward,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ladislav Krejčí,28,Serie A,Midfielder,Bologna,1050,522,528,14,8,6,1,1,0,0,0,19,9,10,1,0.09,0,0.09,0.17,0,1050,75,0
Lasse Schöne,34,Serie A,Forward,Genoa,2434,1356,1078,32,17,15,2,2,0,3,0,42,22,20,5,0.18,0.11,0.07,0.13,0,1217,76,811
Lautaro Javier Martínez,23,Serie A,Forward,Inter Milan,2466,1097,1369,35,17,18,14,8,6,3,2,28,13,15,9,0.62,0.11,0.51,0.66,0.39,176,70,822
Leandro Henrique do Nascimento,22,Serie A,Midfielder,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lennart Czyborra,21,Serie A,Defender,Atalanta,16,16,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0
Leonardo Bonucci,33,Serie A,Defender,Juventus,3085,1645,1440,35,19,16,3,3,0,0,0,34,15,19,10,0.09,0,0.09,0.16,0,1028,88,0
Leonardo Duarte da Silva,24,Serie A,Midfielder,AC Milan,403,223,180,6,4,2,0,0,0,0,0,6,4,2,2,0,0,0,0,0,0,67,0
Leonardo Mazza,20,Serie A,Midfielder,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo Morosini,25,Serie A,Midfielder,Brescia,23,5,18,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Leonardo Pavoletti,31,Serie A,Forward,Cagliari,45,45,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
Leonardo Spinazzola,27,Serie A,Defender,Roma,1548,770,778,24,10,14,1,1,0,2,0,22,9,13,2,0.17,0.12,0.06,0.12,0,1548,65,774
Leonardo Stanzani,20,Serie A,Forward,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lévy Koffi Djidji,27,Serie A,Defender,Torino,847,413,434,17,9,8,0,0,0,0,0,21,12,9,0,0,0,0,0,0,0,50,0
Liam Henderson,24,Serie A,Midfielder,Hellas Verona,195,94,101,4,2,2,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,49,0
Lorenzo Andrenacci,25,Serie A,Goalkeeper,Brescia,530,270,260,6,3,3,0,0,0,0,0,16,6,10,0,0,0,0,0,0,0,88,0
Lorenzo Avogadri,19,Serie A,Goalkeeper,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Colombo,18,Serie A,Forward,AC Milan,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Lorenzo De Silvestri,32,Serie A,Defender,Torino,2251,1154,1097,29,15,14,0,0,0,0,0,46,21,25,2,0,0,0,0,0,0,78,0
Lorenzo Dickmann,24,Serie A,Defender,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
