full_name,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Derek Kutesa,22,Ligue 1,Midfielder,Reims,521,295,226,14,8,6,1,0,1,0,0,5,2,3,0,0.17,0,0.17,0,0.4,521,37,0
Diafra Sakho,30,Ligue 1,Forward,Rennes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Didier Ndong Ibrahim,26,Ligue 1,Midfielder,Dijon,2389,1170,1219,27,13,14,0,0,0,3,0,32,11,21,5,0.11,0.11,0,0,0,0,88,796
Diego Benaglio,37,Ligue 1,Goalkeeper,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Digbo G'nampa Habib Maïga,24,Ligue 1,Midfielder,Metz,2271,1138,1133,26,13,13,1,0,1,2,0,29,14,15,7,0.12,0.08,0.04,0,0.08,2271,87,1136
Dimitri Liénard,32,Ligue 1,Midfielder,Strasbourg,1488,911,577,22,12,10,2,2,0,3,0,21,10,11,3,0.3,0.18,0.12,0.2,0,744,68,496
Dimitri Payet,33,Ligue 1,Midfielder,Olympique Marseille,1937,960,977,22,11,11,9,5,4,4,3,17,7,10,6,0.6,0.19,0.42,0.47,0.37,215,88,484
Dimitry Bertaud,22,Ligue 1,Goalkeeper,Montpellier,197,90,107,3,1,2,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,66,0
Domagoj Bradarić,20,Ligue 1,Defender,Lille,1419,800,619,18,10,8,0,0,0,1,0,13,4,9,1,0.06,0.06,0,0,0,0,79,1419
Donovan Léon,28,Ligue 1,Goalkeeper,Brest,122,90,32,2,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,61,0
Duje Ćaleta-Car,24,Ligue 1,Defender,Olympique Marseille,1883,1072,811,23,12,11,1,1,0,1,0,17,9,8,6,0.1,0.05,0.05,0.08,0,1883,82,1883
Dylan Bronn,25,Ligue 1,Defender,Metz,810,450,360,9,5,4,0,0,0,0,0,6,5,1,1,0,0,0,0,0,0,90,0
Eddy Gnahoré,26,Ligue 1,Midfielder,Amiens SC,1136,517,619,17,8,9,0,0,0,0,0,21,10,11,4,0,0,0,0,0,0,67,0
Eddy Sylvestre,21,Ligue 1,Midfielder,Nice,36,36,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,36,0
Edinson Cavani,33,Ligue 1,Forward,PSG,602,324,278,14,10,4,4,3,1,1,1,8,2,6,2,0.75,0.15,0.6,0.83,0.32,151,43,602
Edmilson Indjai Correia,0,Ligue 1,Midfielder,Saint-Étienne,45,25,20,4,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,0
Edouard Mendy,28,Ligue 1,Goalkeeper,Rennes,2160,1080,1080,24,12,12,0,0,0,0,0,17,10,7,1,0,0,0,0,0,0,90,0
Edson André Sitoe,32,Ligue 1,Defender,Bordeaux,1488,554,934,19,8,11,0,0,0,2,0,16,5,11,5,0.12,0.12,0,0,0,0,78,744
Eduardo Camavinga,18,Ligue 1,Midfielder,Rennes,2112,1041,1071,25,13,12,1,0,1,2,0,18,12,6,4,0.13,0.09,0.04,0,0.08,2112,84,1056
Efthymios Koulouris,24,Ligue 1,Forward,Toulouse,1543,759,784,24,11,13,4,2,2,2,0,26,8,18,1,0.35,0.12,0.23,0.24,0.23,386,64,772
Eiji Kawashima,37,Ligue 1,Goalkeeper,Strasbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Bilal Toure,19,Ligue 1,Forward,Reims,457,195,262,7,3,4,3,2,1,0,2,3,0,3,2,0.59,0,0.59,0.92,0.34,152,65,0
Elias Damergy,18,Ligue 1,Goalkeeper,Rennes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elie Youan,21,Ligue 1,Forward,Nantes,162,16,146,5,2,3,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,32,0
