full_name,age,league,position,current_club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Joan Jordán,26,La Liga,Midfielder,Sevilla FC,2264,992,1272,34,16,18,2,0,2,2,0,14,4,10,8,0.16,0.08,0.08,0,0.14,1132,67,1132
Joan Monterde Raygal,22,La Liga,Midfielder,Levante UD,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
João Félix Sequeira,21,La Liga,Forward,Atlético Madrid,1757,1034,723,27,15,12,6,3,3,1,0,8,7,1,6,0.36,0.05,0.31,0.26,0.37,293,65,1757
João Paulo Santos da Costa,24,La Liga,Goalkeeper,Granada CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joaquín,39,La Liga,Midfielder,Real Betis,2071,1147,924,34,18,16,8,7,1,3,2,33,16,17,4,0.48,0.13,0.35,0.55,0.1,259,61,690
Joaquín Fernández Moreno,24,La Liga,Midfielder,Real Valladolid,1661,942,719,20,11,9,2,2,0,0,0,20,8,12,9,0.11,0,0.11,0.19,0,831,83,0
Joaquín José Marín Ruiz,31,La Liga,Defender,Granada CF,716,222,494,10,4,6,0,0,0,0,0,11,3,8,2,0,0,0,0,0,0,72,0
Joel Robles Blázquez,30,La Liga,Goalkeeper,Real Betis,2888,1448,1440,33,17,16,0,0,0,0,0,45,22,23,4,0,0,0,0,0,0,88,0
John Guidetti,28,La Liga,Forward,Deportivo Alavés,93,58,35,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
Jokin Ezkieta Mendiburu,24,La Liga,Goalkeeper,Athletic Club Bilbao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Moncayola Tollar,22,La Liga,Midfielder,CA Osasuna,1489,505,984,27,13,14,1,0,1,0,0,20,8,12,4,0.06,0,0.06,0,0.09,1489,55,0
Jon Pacheco Dozagarat,19,La Liga,Defender,Real Sociedad,78,0,78,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,78,0
Jon Sillero Monreal,22,La Liga,Defender,Athletic Club Bilbao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Calleri,27,La Liga,Forward,RCD Espanyol,1817,989,828,27,15,12,1,1,0,3,0,31,18,13,6,0.2,0.15,0.05,0.09,0,1817,67,606
Jonathan Cristian Silva,26,La Liga,Defender,Leganés,2787,1463,1324,33,17,16,1,0,1,2,0,42,23,19,14,0.1,0.06,0.03,0,0.07,2787,84,1394
Jordi Alba,31,La Liga,Defender,FC Barcelona,2190,1012,1178,27,13,14,2,1,1,5,0,19,7,12,7,0.29,0.21,0.08,0.09,0.08,1095,81,438
Jordi Masip López,31,La Liga,Goalkeeper,Real Valladolid,3150,1620,1530,35,18,17,0,0,0,0,0,34,12,22,2,0,0,0,0,0,0,90,0
Jorge Andújar Moreno,33,La Liga,Defender,Levante UD,986,599,387,17,10,7,1,1,0,0,0,16,9,7,3,0.09,0,0.09,0.15,0,986,58,0
Jorge Cuenca Barreno,20,La Liga,Defender,FC Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge De Frutos Sebastián,23,La Liga,Forward,Real Valladolid,56,34,22,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
Jorge Jiménez Rodríguez,21,La Liga,Forward,Real Betis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Miramón Santagertrudis,31,La Liga,Midfielder,Levante UD,2430,1109,1321,32,16,16,0,0,0,3,0,38,11,27,5,0.11,0.11,0,0,0,0,76,810
Jorge Molina,38,La Liga,Forward,Getafe CF,1893,962,931,34,16,18,5,5,0,3,2,17,7,10,7,0.38,0.14,0.24,0.47,0,379,56,631
Jorge Ruiz Ojeda,25,La Liga,Goalkeeper,Levante UD,180,90,90,2,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,90,0
Jorge Sáenz de Miera Colmeiro,23,La Liga,Defender,Celta de Vigo,371,221,150,7,4,3,0,0,0,0,0,7,4,3,4,0,0,0,0,0,0,53,0
José Alonso Alonso Lara,20,La Liga,Midfielder,Sevilla FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Ángel,31,La Liga,Defender,SD Eibar,2362,1477,885,28,17,11,1,1,0,1,0,37,21,16,4,0.08,0.04,0.04,0.06,0,2362,84,2362
José Antonio Caro Díaz,26,La Liga,Goalkeeper,Real Valladolid,245,90,155,3,1,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,82,0
José Antonio Martínez Gil,27,La Liga,Defender,Granada CF,1187,490,697,20,8,12,0,0,0,1,0,19,3,16,0,0.08,0.08,0,0,0,0,59,1187
José Antonio Rodríguez Díaz,28,La Liga,Midfielder,Granada CF,2562,1168,1394,36,17,19,7,3,4,3,0,29,7,22,7,0.35,0.11,0.25,0.23,0.26,366,71,854
Jose Campana,27,La Liga,Midfielder,Levante UD,3159,1576,1583,37,19,18,2,1,1,7,0,46,18,28,4,0.26,0.2,0.06,0.06,0.06,1580,85,451
José Giménez,25,La Liga,Defender,Atlético Madrid,1753,912,841,21,11,10,0,0,0,0,0,11,5,6,2,0,0,0,0,0,0,83,0
José Ignacio Martínez García,31,La Liga,Defender,Real Valladolid,1894,1031,863,23,12,11,0,0,0,2,0,19,7,12,2,0.1,0.1,0,0,0,0,82,947
